Gene ID	P value	avg_log(Foldchange)	pct.1 (enriched cluster)	pct.2 (other clusters)	adjusted P value	cluster
LOC-Os05g30810	6.32E-60	0.6342186	0.849	0.532	2.48E-55	endodermis
LOC-Os06g481601	6.66E-60	0.811411792	0.628	0.231	2.61E-55	endodermis
LOC-Os05g07030	7.04E-60	0.257094181	0.411	0.1	2.76E-55	endodermis
LOC-Os03g01770	1.41E-59	0.55774258	0.726	0.341	5.53E-55	endodermis
LOC-Os06g05650	1.62E-59	0.480219906	0.768	0.37	6.36E-55	endodermis
LOC-Os11g20790	1.63E-59	0.433644395	0.537	0.176	6.38E-55	endodermis
LOC-Os03g05520	3.01E-59	0.597606739	0.621	0.249	1.18E-54	endodermis
LOC-Os03g05500	4.98E-59	0.679809446	0.772	0.331	1.95E-54	endodermis
LOC-Os05g03030	1.50E-58	0.265270062	0.449	0.12	5.89E-54	endodermis
LOC-Os02g57720	1.78E-58	0.260277007	0.305	0.06	6.97E-54	endodermis
LOC-Os07g33240	3.06E-58	0.471267964	0.691	0.277	1.20E-53	endodermis
LOC-Os05g38550	1.43E-57	0.545510087	0.912	0.677	5.63E-53	endodermis
LOC-Os11g29700	1.63E-57	0.344366735	0.582	0.192	6.37E-53	endodermis
LOC-Os10g41710	1.75E-57	0.301675211	0.474	0.131	6.86E-53	endodermis
LOC-Os01g68940	2.35E-57	0.515473816	0.825	0.467	9.22E-53	endodermis
LOC-Os03g17100	2.49E-57	0.681584161	0.196	0.028	9.77E-53	endodermis
LOC-Os10g23204	3.10E-57	0.422922078	0.656	0.263	1.21E-52	endodermis
LOC-Os10g36650	7.38E-57	0.942308408	0.614	0.25	2.89E-52	endodermis
LOC-Os02g30624	1.28E-56	0.531829564	0.8	0.433	5.01E-52	endodermis
LOC-Os12g32950	1.73E-56	0.614365685	0.954	0.811	6.77E-52	endodermis
LOC-Os02g32030	9.05E-56	0.668164547	0.898	0.646	3.55E-51	endodermis
LOC-Os05g40420	1.15E-55	0.496541579	0.607	0.233	4.49E-51	endodermis
LOC-Os03g64210	2.19E-55	0.255303393	0.439	0.116	8.59E-51	endodermis
LOC-Os10g36690	6.65E-55	0.328494168	0.407	0.107	2.61E-50	endodermis
LOC-Os01g21180	8.14E-55	0.49011462	0.677	0.304	3.19E-50	endodermis
LOC-Os03g55120	8.46E-55	0.357740358	0.379	0.096	3.32E-50	endodermis
LOC-Os06g03486	1.59E-54	0.499392069	0.982	0.898	6.24E-50	endodermis
LOC-Os08g37960	1.78E-54	0.306944522	0.547	0.173	6.98E-50	endodermis
LOC-Os07g01950	3.43E-54	0.434330742	0.723	0.315	1.34E-49	endodermis
